id,commune,code_postal,niveau_prix,nombre_habitants_par_commune,annee_habitants,annee_consommation,consommation_totale,consommation_moyenne,gaz,created_at,updated_at
82,Chalamont,01320,1,2365,2011,2024,4104.52931,10.1849362531017,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
83,Chalamont,01320,1,2406,2016,2024,4104.52931,10.1849362531017,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
84,Chalamont,01320,1,2544,2022,2024,4104.52931,10.1849362531017,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
85,Chaleins,01480,6,1156,2011,2024,1633.6847,8.42105515463918,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
86,Chaleins,01480,6,1296,2016,2024,1633.6847,8.42105515463918,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
87,Chaleins,01480,6,1436,2022,2024,1633.6847,8.42105515463918,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
88,"Château-Gaillard",01500,6,1830,2011,2024,3701.30062,8.54803838337182,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
89,"Château-Gaillard",01500,6,2080,2016,2024,3701.30062,8.54803838337182,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
90,"Château-Gaillard",01500,6,2408,2022,2024,3701.30062,8.54803838337182,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
91,"Châtillon-sur-Chalaronne",01400,3,4940,2011,2024,11164.40238,10.2051210054845,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
92,"Châtillon-sur-Chalaronne",01400,3,4886,2016,2024,11164.40238,10.2051210054845,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
93,"Châtillon-sur-Chalaronne",01400,3,5154,2022,2024,11164.40238,10.2051210054845,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
94,Chazey-sur-Ain,01150,2,1520,2011,2024,1467.00907,12.7566006086957,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
95,Chazey-sur-Ain,01150,2,1513,2016,2024,1467.00907,12.7566006086957,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
96,Chazey-sur-Ain,01150,2,1613,2022,2024,1467.00907,12.7566006086957,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
97,Chevry,01170,4,1269,2011,2024,4591.57936,10.0472196061269,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
98,Chevry,01170,4,1643,2016,2024,4591.57936,10.0472196061269,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
99,Chevry,01170,4,2301,2022,2024,4591.57936,10.0472196061269,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
100,Civrieux,01390,1,1347,2011,2024,3895.05634,9.73764085,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
101,Civrieux,01390,1,1606,2016,2024,3895.05634,9.73764085,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
102,Civrieux,01390,1,1986,2022,2024,3895.05634,9.73764085,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
103,Coligny,01270,6,1160,2011,2024,1636.71105,13.4156643442623,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
104,Coligny,01270,6,1187,2016,2024,1636.71105,13.4156643442623,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
105,Coligny,01270,6,1294,2022,2024,1636.71105,13.4156643442623,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
